	Adult_FG_1	Adult_FG_2	Adult_FG_3	Adult_OV_1	Adult_OV_2	Adult_OV_3
FUN_000478-T1	6	12	5	7	14	3
FUN_000479-T1	24	37	24	10	9	6
FUN_000480-T1	64	256	36	76	188	54
FUN_000481-T1	6	33	17	4	12	6
FUN_000482-T1	0	4	0	0	0	1
FUN_000483-T1	0	0	2	0	4	0
FUN_000484-T1	4	11	11	7	19	3
FUN_000485-T1	4	13	11	2	7	3
FUN_000486-T1	4	13	7	5	3	0
FUN_000487-T1	0	0	0	0	0	0
FUN_000488-T1	18	71	13	20	55	21
FUN_000489-T1	153	418	139	205	586	171
FUN_000490-T1	0	0	0	0	0	0
FUN_000491-T1	0	0	0	0	0	0
FUN_000492-T1	0	0	0	0	0	0
FUN_000493-T1	0	5	0	0	1	0
FUN_000494-T1	0	0	0	0	0	0
FUN_000495-T1	0	0	0	0	0	0
FUN_000496-T1	7	4	0	2	13	2
FUN_000497-T1	0	0	0	0	0	0
FUN_000498-T1	0	0	0	0	0	0
FUN_000499-T1	3	13	1	7	18	2
FUN_000500-T1	0	0	0	0	0	0
FUN_000501-T1	0	0	0	0	0	0
FUN_000502-T1	0	0	0	0	0	0
FUN_000503-T1	0	0	0	0	0	0
FUN_000504-T1	0	0	0	0	0	0
FUN_000505-T1	0	0	0	1	0	0
FUN_000506-T1	0	0	0	0	0	0
FUN_000507-T1	0	0	0	0	1	0
FUN_000508-T1	0	0	0	0	0	0
FUN_000509-T1	0	0	0	0	0	0
FUN_000510-T1	0	1	0	0	0	0
FUN_000511-T1	2	1	0	0	0	0
FUN_000512-T1	0	0	0	0	0	0
FUN_000513-T1	0	0	0	0	0	0
FUN_000514-T1	0	0	0	0	0	0
FUN_000515-T1	0	0	0	0	0	0
FUN_000516-T1	0	0	0	0	0	0
FUN_000517-T1	0	0	0	0	0	0
FUN_000518-T1	0	0	0	2	7	2
FUN_000519-T1	0	0	0	0	0	0
FUN_000520-T1	0	0	0	1	0	0
FUN_000521-T1	0	0	0	0	0	0
FUN_000522-T1	0	0	0	0	0	0
FUN_000523-T1	35	77	34	69	152	57
FUN_000524-T1	0	0	0	0	0	0
FUN_000525-T1	3	0	4	4	7	0
FUN_000526-T1	8	14	11	20	35	22
FUN_000527-T1	3	0	7	2	6	0
FUN_000528-T1	0	0	0	0	0	0
FUN_000529-T1	0	0	0	25	117	24
FUN_000530-T1	1	0	0	5	0	0
FUN_000531-T1	0	0	0	0	0	0
FUN_000532-T1	2	2	9	9	5	5
FUN_000533-T1	11	44	14	19	80	36
FUN_000534-T1	0	0	0	0	0	0
FUN_000535-T1	0	0	0	0	0	0
FUN_000536-T1	19	58	9	22	57	10
FUN_000537-T1	11	33	6	6	31	12
FUN_000538-T1	0	3	1	4	6	1
FUN_000539-T1	0	0	0	0	0	0
FUN_000540-T1	0	0	0	0	0	0
FUN_000541-T1	66	134	54	91	303	112
FUN_000542-T1	13	42	9	12	40	12
FUN_000543-T1	15	32	11	64	286	80
FUN_000544-T1	6	38	9	10	36	7
FUN_000545-T1	2	15	5	4	3	2
FUN_000546-T1	3	5	2	6	1	4
FUN_000547-T1	0	0	0	0	0	0
FUN_000548-T1	7	11	1	13	26	9
FUN_000549-T1	6	17	5	4	8	2
FUN_000550-T1	22	56	14	15	45	7
FUN_000551-T1	0	0	0	0	1	0
FUN_000552-T1	5	4	4	0	1	0
FUN_000553-T1	86	38	61	0	6	1
FUN_000554-T1	11	4	22	12	7	13
FUN_000555-T1	252	241	172	78	327	96
FUN_000556-T1	10	14	6	6	23	1
FUN_000557-T1	1	2	0	0	2	0
FUN_000558-T1	1	6	1	0	0	0
FUN_000559-T1	0	0	0	0	0	0
FUN_000560-T1	0	0	0	0	0	0
FUN_000561-T1	0	0	0	0	0	0
FUN_000562-T1	0	0	0	0	0	0
FUN_000563-T1	0	0	0	0	0	0
FUN_000564-T1	0	0	0	0	0	0
FUN_000565-T1	0	0	0	0	0	0
FUN_000566-T1	0	0	0	0	0	0
FUN_000567-T1	0	0	0	0	0	0
FUN_000568-T1	1	0	0	0	1	0
FUN_000569-T1	2	4	0	0	0	0
FUN_000570-T1	5	10	0	3	6	2
FUN_000571-T1	18	52	15	11	56	11
FUN_000572-T1	12	29	4	2	39	6
FUN_000573-T1	0	0	0	0	0	0
FUN_000574-T1	29	75	37	104	493	96
FUN_000575-T1	0	0	0	0	0	0
FUN_000576-T1	22	23	36	79	205	76
FUN_000577-T1	0	0	0	0	1	0
FUN_000578-T1	10	15	8	27	126	27
FUN_000579-T1	21	37	26	71	368	61
FUN_000580-T1	0	0	0	0	0	0
FUN_000581-T1	0	0	0	0	0	0
FUN_000582-T1	0	0	0	0	0	0
FUN_000583-T1	0	0	0	0	0	0
FUN_000584-T1	0	0	0	0	0	0
FUN_000585-T1	0	0	0	0	0	0
FUN_000586-T1	0	0	0	0	0	0
FUN_000587-T1	19	29	12	18	67	15
FUN_000588-T1	3	9	0	4	8	2
FUN_000589-T1	169	399	171	160	664	187
FUN_000590-T1	26	91	38	90	223	70
FUN_000591-T1	0	0	0	0	0	0
FUN_000592-T1	0	0	0	0	0	0
FUN_000593-T1	0	0	0	0	0	0
FUN_000594-T1	2	0	1	0	1	3
FUN_000595-T1	6	6	0	13	48	16
FUN_000596-T1	0	0	0	0	0	0
FUN_000597-T1	0	0	0	0	0	0
FUN_000598-T1	0	0	0	0	0	0
FUN_000599-T1	0	0	0	0	0	0
FUN_000600-T1	0	0	0	0	0	0
FUN_000601-T1	0	0	0	0	0	0
FUN_000602-T1	0	0	0	0	0	0
FUN_000603-T1	1	1	2	10	5	5
FUN_000604-T1	0	0	0	0	0	0
FUN_000605-T1	0	0	0	0	0	0
FUN_000606-T1	0	0	0	0	0	0
FUN_000607-T1	0	0	0	0	0	0
FUN_000608-T1	0	0	0	0	0	0
FUN_000609-T1	0	0	0	0	0	0
FUN_000610-T1	0	0	0	0	0	0
FUN_000611-T1	0	0	0	0	0	0
FUN_000612-T1	0	0	0	0	0	0
FUN_000613-T1	0	0	0	0	0	0
FUN_000614-T1	0	0	0	0	0	0
FUN_000615-T1	0	0	0	0	0	0
